INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION
0,ربما يجب على الأمم المتحدة أن تتحدث مع تلك الدول الآسيوية والأفريقية المسؤولة عن أكثر من 90٪ من تلوث المحيطات بدلاً من الإصرار على هذا الهراء حول تغير المناخ.,"You're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!",other,V1
1,"‘العصير (اليهود) أسوأ من القنابل النووية.’ تعليق على ميم يظهر هيروشيما عام 1945 والوقت الحاضر، مقارنة بصور ديترويت عام 1945 والوقت الحاضر.",You'd rather be nuked then?,JEWS,V1
2,قفز عدد الأجانب الذين يحصلون على إعانات في المملكة المتحدة بنسبة 41٪ خلال خمس سنوات مع حصول أكثر من 400 ألف شخص الآن على مدفوعات. يجب أن يتوقف هذا الهراء.,"You seem to be worried about government expenditure… it has actually been shown that,over time, migration reduces pressure on government spending – because migrants are more likely to be young adult workers. https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-immigration-in-the-uk/",MIGRANTS,V1
3,"لا يمكن لليهود أن يكونوا وطنيين، لأن ولاءهم سيكون دائمًا لدولة إسرائيل.","You can have parents and grandparents born elsewhere, and still be a patriot for the country you were born in.",JEWS,V1
4,"إسرائيل، الصهيونية وسيطرة اليهود المتفوقين على أمريكا هي الأسباب الرئيسية للإرهاب وعدم الاستقرار والصراع في العالم. كل النظريات الأخرى هي تشتيت عن هذه الحقيقة المطلقة.",Wouldn't you say its colonialism from many different countries and the consequesequences of Western intervention abroad which led to a lot of radicalisation and extremism?,JEWS,V1
5,"النساء مثل الأطفال في الأساس، يظللن هكذا معظم حياتهن. ناعمة وعاطفية. لقد دمر ذلك حضاراتنا الأبوية العظيمة.",Would you say the same thing to the women who gave you life or treat you in hospital or taught you in school?,WOMEN,V1
6,قفز عدد الأجانب الذين يحصلون على إعانات في المملكة المتحدة بنسبة 41٪ خلال خمس سنوات مع حصول أكثر من 400 ألف شخص الآن على مدفوعات. يجب أن يتوقف هذا الهراء.,"Would be intersting to see how much money ""foreigners"" are giving the UK in terms of taxes. It's not hard to see how much we have to thank them for. Would be beneficial for everyone to focus on stopping tax evasion instead.",MIGRANTS,V1
7,"العرق هو بناء اجتماعي، وإذا رأيت أي اختلاف بين هاتين المرأتين، فهذا لأن لديك مرض عقلي. [صورة تظهر رياضية أوروبية شقراء، بجانب صورة لامرأة أفريقية ترتدي صحن شفاه]","Women are women the world over, full stop.",POC,V1
8,"من أنت بحق الجحيم؟ لقد سئمنا من الكارهات للرجال اللواتي يحاولن تقويض الرجال البيض الأقوياء، بينما هن فقط غيورات وغير كفؤات وعديمات الفائدة.",Without women there would be no men.,WOMEN,V1
9,"النساء مثل الأطفال في الأساس، يظللن هكذا معظم حياتهن. ناعمة وعاطفية. لقد دمر ذلك حضاراتنا الأبوية العظيمة.",WIthout softeness and emotions there would just be brutality and cruelty. Not all women are soft and emotional and many men have these characteristics. To perpetuate these socially constructed gender profiles maintains patriarchal norms which oppress both men and women.,WOMEN,V1
10,"من أنت بحق الجحيم؟ لقد سئمنا من الكارهات للرجال اللواتي يحاولن تقويض الرجال البيض الأقوياء. إنهن فقط غيورات وغير كفؤات وعديمات الفائدة.",What makes you think that women are jealous of men? What qualities do you value as a White Male?,WOMEN,V1
11,"يضحكني بحق الجحيم، لماذا لا ينبغي أن يكون البيض متفوقين في بلد أغلبه من البيض؟ لماذا لا يشتكي أحد من تفوق السود في دول السود مثل الصومال؟ أو تفوق المكسيكيين؟ أو الهنود؟ فقط نحن من يتحمل هذا الهراء.",Why do we need supremacy? We are all created equal in the eyes of God.,other,V1
12,ما الفرق بين البقرة والمحرقة؟ تتوقف عن حلب البقرة بعد 70 عامًا.,We should be respectful and compassionate towards those who suffered in one of the most horrific event in the history of mankind... I think this should be remembered forever!,JEWS,V1
13,"بدأنا في الانهيار عندما سمحنا للنساء بالتصويت/التدخل في الحضارة التي بنيناها وحافظنا عليها لآلاف السنين. طاقة وأنماط تفكير مختلفة تمامًا. إنهن ضعيفات ويخفضن مجتمعنا إلى مستواهن العاطفي الناعم.","Who is 'we', surely it was men and women working together that built civilisation? Why is it you think being 'soft' is a problem? Everyone is entitled to their emotions, and men shouldn't have to 'man up'.",WOMEN,V1
14,"اليهود يحبون عزل مناطق لأنفسهم، بينما يملؤون أحياء البيض بالإسكان الاجتماعي من خلال قضاتهم.",Which suggests that white people like to cordon off areas for themselves...,JEWS,V1
15,"الأقليات تصوت لتجريد البيض من الثروة والسلطة ويتم تنظيمهم للقيام بذلك من قبل اليهود.",Where is your evidence?,JEWS,V1
16,"إسرائيل، الصهيونية وسيطرة اليهود المتفوقين على أمريكا هي الأسباب الرئيسية للإرهاب وعدم الاستقرار والصراع في العالم. كل النظريات الأخرى هي تشتيت عن هذه الحقيقة المطلقة.",Where are the facts?,JEWS,V1
17,"اليهود قاموا بهجمات: يو إس إس ليبرتي، فندق الملك داود، نيويورك 9/11، لندن 7/7",Where are the facts?,JEWS,V1
18,"المتطرفون الصهاينة يتآمرون في القدس. أهدافهم هي إحداث الفوضى والدمار والقتل وخلق المزيد من اللاجئين وتدمير أوروبا.",What's your proof for claiming this?,JEWS,V1
19,"ماذا لو كان جميع حكامنا من المتحرشين بالأطفال الذين يسيطر عليهم اليهود؟ هذا سيفسر الكثير.",What would it explain? This comment is very vague I wonder if you have any facts that make you wonder this.,JEWS,V1
20,"اليهود حول العالم لم يريدوا خروج بريطانيا من الاتحاد الأوروبي وهم يفعلون كل ما في وسعهم لإفشاله.",What makes you think that? Do you have any facts to back this up?,JEWS,V1
21,"اليهود قاموا بهجمات: يو إس إس ليبرتي، فندق الملك داود، نيويورك 9/11، لندن 7/7",Where is the proof of this? Looks like assumptions as opposed to facts...,JEWS,V1
22,"اليهودي الأمريكي، مثل المسلم، غريب، مخلص لقبيلته الأصلية، يتظاهر بأنه عضو في المجموعة من أجل تخريب المعايير الثقافية والسياسية والاجتماعية. لا يجب علينا الاختيار، من الجيد كره كليهما.",We do have to choose. It's ok to accept them both.,other,V1
23,"اليهودي الأمريكي، مثل المسلم، غريب، مخلص لقبيلته الأصلية، يتظاهر بأنه عضو في المجموعة من أجل تخريب المعايير الثقافية والسياسية والاجتماعية. لا يجب علينا الاختيار، من الجيد كره كليهما.","We can choose not to hate, and start to build bridges so we understand each other.",other,V1
24,"وزير التعليم البريطاني: 'جميع الأطفال من سن 4 سنوات سيحصلون على دروس إلزامية حول العلاقات المثلية.' – هذا ليس تعليمًا، هذا تلاعب وتلقين للأطفال ومنعهم من تطوير شخصياتهم.","We are always developing as time goes on and same sex relationships are a part of the world now, why would we not educate our children on different ways of life?",LGBT+,V1
25,"من أنت بحق الجحيم؟ لقد سئمنا من الكارهات للرجال اللواتي يحاولن تقويض الرجال البيض الأقوياء، بينما هن فقط غيورات وغير كفؤات وعديمات الفائدة.","Undermine or speak their mind? Yes, women have minds and they work just as well as men's.",WOMEN,V1
26,"نشرت الحكومة البريطانية مؤخرًا ورقة حول 'الأضرار عبر الإنترنت' – بمعنى آخر، سيعملون مع المنظمات اليهودية والإسلامية لمكافحة الكراهية لفرض الرقابة على الإنترنت. (في إشارة إلى Tell Mama و CST و Stop Hate UK)",To work with people from different backgrounds and different opinions is promoting free speech. If there wasn't free speech for everyone you couldn't express how you feel.,other,V1
27,"منذ متى أصبح استخدام فتحة الشرج كعضو جنسي 'إنجازًا عظيمًا'؟ هذه هي المثلية المفروضة من الدولة! ربما يجب أن نغير شعارنا إلى 'نثق في الربا واللواط' (ردًا على إلغاء بوتسوانا تجريم المثلية)",To recognise and accept practices that we don't take part in isn't state inforcement. It's just stating facts and stopping persecution of people who have different preferences.,LGBT+,V1
28,"لهذا السبب لا تنتمي النساء إلى السياسة، إذا اشتكى رجل مثلهن، فسوف يطلق عليه جبان ويطلب منه مغادرة الوظيفة. المساواة كذبة والنسوية حكم بالإعدام لأي حضارة.","To have a more positive political environment, inclusivity and representation of all types of people is necessary, therefore women do belong in politics",WOMEN,V1
29,باكستان: 202 مليون نيجيريا: 193 مليون بنغلاديش: 165 مليون إثيوبيا: 107 مليون الكونغو: 84 مليون بريطانيا العظمى: 66 مليون 'الأقليات العرقية' لا تضحكني بحق الجحيم!,"this is correct, but their percentage of the population within Great Britain makes them a minority",MIGRANTS,V1
30,"وزير التعليم البريطاني: 'جميع الأطفال من سن 4 سنوات سيحصلون على دروس إلزامية حول العلاقات المثلية.' – هذا ليس تعليمًا، هذا تلاعب وتلقين للأطفال ومنعهم من تطوير شخصياتهم.","This is about teaching children about the world they live in, and helping them get on with others.",LGBT+,V1
31,باكستان: 202 مليون نيجيريا: 193 مليون بنغلاديش: 165 مليون إثيوبيا: 107 مليون الكونغو: 84 مليون بريطانيا العظمى: 66 مليون 'الأقليات العرقية' لا تضحكني بحق الجحيم!,"These groups tend to be a minority in Britian. Either way, everyone deserves respect and protection and human rights.",MIGRANTS,V1
32,باكستان: 202 مليون نيجيريا: 193 مليون بنغلاديش: 165 مليون إثيوبيا: 107 مليون الكونغو: 84 مليون بريطانيا العظمى: 66 مليون 'الأقليات العرقية' لا تضحكني بحق الجحيم!,"These are numbers of residents in countries, not ethnic grouping.",MIGRANTS,V1
33,"التقطت هذه الصورة في وانستيد، شرق لندن. منطقة بها منازل تزيد قيمتها عن مليون جنيه إسترليني. المتسولون في الشارع الرئيسي وشخص ينام على مقعد. لا نستطيع إيواء شعبنا ولكننا نجلب ملايين آخرين. الإشارة إلى أن التشرد بسبب الهجرة غير المنضبطة يجعلك توصف بـ 'العنصري'. (تعليق على صورة شخص مشرد ينام على مقعد)",There are more than enough empty homes in this country right now to house every single homeless person. There is also more than enough wealth in this country to build new homes. We CAN house our ‘own people’ but the government chooses not to. Homelessness is an issue of wealth inequality not migration – if you genuinely care about poverty issues like homelessness you need to be questioning power structures and wealth distribution.,MIGRANTS,V1
34,"عندما تدمرون العالم أيها الحيوانات وتبدؤون بأكل بعضكم البعض، لأن هذا كل ما تجيدونه، سنظل نحن هنا، نحافظ على نقاء سلالتنا ضد كل الصعاب، نندم على اليوم الذي استمعنا فيه للنساء ورفعنا أقدامنا عن حناجركم.",The womenfolk appear to have wisdom and not a little heart.,WOMEN,V1
35,ربما يجب على الأمم المتحدة أن تتحدث مع تلك الدول الآسيوية والأفريقية المسؤولة عن أكثر من 90٪ من تلوث المحيطات بدلاً من الإصرار على هذا الهراء حول تغير المناخ.,"The US is the second most polluting country in the world - as the world’s biggest industrial and commercial power. We are all to blame here and need to work hand in hand to create sustainable change, as opposed to pointing the finger to others.",other,V1
36,"قوتهم في حظر الأفلام ومعاقبة المخرجين دليل على أن اليهود يسيطرون على هوليوود.","The ultra rich people in this industry - Jewish or not - have the power and influence. Not sure where you got your facts from regarding Jewish people ""controlling"" Hollywood.",JEWS,V1
37,"لقد انتصر النسويون. مع رفض العديد من النساء الإنجاب، سيتم استبدالنا وسنفقد حضارتنا.","The term 'feminism' is fighting for equal rights of ALL sexes, you may find that you too identify as a feminist. Maybe try some of the following sites to find out more on how the feminist movement can benefit you: feminist.com, read more on the 'man up campaign' on Mind.org.uk",WOMEN,V1
38,"النساء مثل الأطفال في الأساس، يظللن هكذا معظم حياتهن. ناعمة وعاطفية. لقد دمر ذلك حضاراتنا الأبوية العظيمة.",The patriarchy is not man's friend. Boys and men are told to be tough and to bear many burdens without being able to show any emotions or to talk about their struggles. This has led to great levels of suicide amoungst men. It is a question of survival and happiness to accept our differences and similarities and to work together.,WOMEN,V1
39,"النازيون كانوا سيئين جدًا في قتل اليهود… في كل مكان ترى ناجٍ من الهولوكوست.",The Nazi killing machine was all too efficient. Survivors lost so much and braved terror and cruelty. They should be celebrated.,JEWS,V1
40,"النازيون كانوا سيئين جدًا في قتل اليهود… في كل مكان ترى ناجٍ من الهولوكوست.",The murder of around 6 million Jews shows the scale of the genocide. This is 6 million more than should have ever happened.,JEWS,V1
41,"'الهولوكوست' هي عمل تجاري. لقد استُخدمت وما زالت تُستخدم لابتزاز ملايين الدولارات من الدول الأوروبية كتعويضات ولخلق جدار من الحصانة وراءه يمكن لليهود العمل بحرية دون انتقاد.","The Jews suffered horribly in the Holocaust, as did many other groups.Reparation is a small step to enable suffering people to rebuild their lives. Common humanity, surely?",JEWS,V1
42,"نشرت الحكومة البريطانية مؤخرًا ورقة حول 'الأضرار عبر الإنترنت' – بمعنى آخر، سيعملون مع المنظمات اليهودية والإسلامية لمكافحة الكراهية لفرض الرقابة على الإنترنت. (في إشارة إلى Tell Mama و CST و Stop Hate UK)",The internet has become a shouting platform for people's hateful views. Of course something needs to be done since people don't seem able to moderate their words themselves.,other,V1
43,"النازيون كانوا سيئين جدًا في قتل اليهود… في كل مكان ترى ناجٍ من الهولوكوست.","The holocaust was hugely tragic, and we are blessed to have holocaust survivors to hear from. They tell an important story that we must learn from.",JEWS,V1
44,"العرق هو بناء اجتماعي، وإذا رأيت أي اختلاف بين هاتين المرأتين، فهذا لأن لديك مرض عقلي. [صورة تظهر رياضية أوروبية شقراء، بجانب صورة لامرأة أفريقية ترتدي صحن شفاه]","the difference between these two individuals has nothing to do with race or gender, it is individual lifestyle and cultural difference.",POC,V1
45,"وزير التعليم البريطاني: 'جميع الأطفال من سن 4 سنوات سيحصلون على دروس إلزامية حول العلاقات المثلية.' – هذا ليس تعليمًا، هذا تلاعب وتلقين للأطفال ومنعهم من تطوير شخصياتهم.","Teaching children that there are different ways to be happy, and that their feelings are valid is something I totally agree with.",LGBT+,V1
46,"النساء مثل الأطفال في الأساس، يظللن هكذا معظم حياتهن. ناعمة وعاطفية. لقد دمر ذلك حضاراتنا الأبوية العظيمة.","Soft and emotional? You must have never heard of the likes of Rosa Parks, Emmeline Pankhurst and Florence Nightingale, then.",WOMEN,V1
47,"النساء مثل الأطفال في الأساس، يظللن هكذا معظم حياتهن. ناعمة وعاطفية. لقد دمر ذلك حضاراتنا الأبوية العظيمة.","Soft and emotinal' are personality traits, may I sugesst you read up on the #HeforShe movement that works for equal rights for men and women, and aims to stop the stigma around men showing emotions.",WOMEN,V1
48,باكستان: 202 مليون نيجيريا: 193 مليون بنغلاديش: 165 مليون إثيوبيا: 107 مليون الكونغو: 84 مليون بريطانيا العظمى: 66 مليون 'الأقليات العرقية' لا تضحكني بحق الجحيم!,Since when was Great Britain an ethnic group? Or Pakistan for that matter. Or Nigeria...etc,MIGRANTS,V1
49,"وزير التعليم البريطاني: 'جميع الأطفال من سن 4 سنوات سيحصلون على دروس إلزامية حول العلاقات المثلية.' – هذا ليس تعليمًا، هذا تلاعب وتلقين للأطفال ومنعهم من تطوير شخصياتهم.","Same sex relationship happen within many species of animals and we are no exception. Might as well inform people about things that happen in nature - that's the point of education, to learn about the world.",LGBT+,V1
50,"نشرت الحكومة البريطانية مؤخرًا ورقة حول 'الأضرار عبر الإنترنت' – بمعنى آخر، سيعملون مع المنظمات اليهودية والإسلامية لمكافحة الكراهية لفرض الرقابة على الإنترنت. (في إشارة إلى Tell Mama و CST و Stop Hate UK)","Sadly people need censoring, to stop them spreading hate,.",other,V1
51,"منذ متى أصبح استخدام فتحة الشرج كعضو جنسي 'إنجازًا عظيمًا'؟ هذه هي المثلية المفروضة من الدولة! ربما يجب أن نغير شعارنا إلى 'نثق في الربا واللواط' (ردًا على إلغاء بوتسوانا تجريم المثلية)","Respect for people who are different from us and not harming anyone with their private activities is a monumental achievement in any country with a history of oppression.",LGBT+,V1
52,"لقد انتصر النسويون. مع رفض العديد من النساء الإنجاب، سيتم استبدالنا وسنفقد حضارتنا.","Replaced by what exactly? I think our population will be fine.",WOMEN,V1
53,"'الهولوكوست' هي عمل تجاري. لقد استُخدمت وما زالت تُستخدم لابتزاز ملايين الدولارات من الدول الأوروبية كتعويضات ولخلق جدار من الحصانة وراءه يمكن لليهود العمل بحرية دون انتقاد.","Reparation is a historical process and has happened in many contexts. After WW1 when Europe wanted massive reperations from Germany for example? It's a normal and established process, and when so many people have lost their lives it makes perfect sense.",JEWS,V1
54,"'الهولوكوست' هي عمل تجاري. لقد استُخدمت وما زالت تُستخدم لابتزاز ملايين الدولارات من الدول الأوروبية كتعويضات ولخلق جدار من الحصانة وراءه يمكن لليهود العمل بحرية دون انتقاد.","reparations for an attempt at ethnic cleansing on a huge scale seems reasonable to me...",JEWS,V1
55,"‘العصير (اليهود) أسوأ من القنابل النووية.’ تعليق على ميم يظهر هيروشيما عام 1945 والوقت الحاضر، مقارنة بصور ديترويت عام 1945 والوقت الحاضر.","Really? I'd sit with a group of Jews any day.",JEWS,V1
56,"التقطت هذه الصورة في وانستيد، شرق لندن. منطقة بها منازل تزيد قيمتها عن مليون جنيه إسترليني. المتسولون في الشارع الرئيسي وشخص ينام على مقعد. لا نستطيع إيواء شعبنا ولكن نجلب ملايين آخرين. الإشارة إلى أن التشرد بسبب الهجرة غير المنضبطة يجعلك توصف بـ 'العنصري'. (تعليق على صورة شخص مشرد ينام على مقعد)","perhaps the problem isnt immigration, but rather the lack of affordable housing. like you said, this is an area of houses over £1m!",MIGRANTS,V1
57,"يضحكني بحق الجحيم، لماذا لا ينبغي أن يكون البيض متفوقين في بلد أغلبه من البيض؟ لماذا لا يشتكي أحد من تفوق السود في دول السود مثل الصومال؟ أو تفوق المكسيكيين؟ أو الهنود؟ فقط نحن من يتحمل هذا الهراء.","Perhaps the nations that you cite are more accepting of other nationalities.",other,V1
58,"الأقليات تصوت لتجريد البيض من الثروة والسلطة ويتم تنظيمهم للقيام بذلك من قبل اليهود.","People who vote for parties which target the most powerful are often mostly concerned about making it financially until the next month. Redistributing wealth from people who have way too much money seems fair, not threatening.",JEWS,V1
59,"لقد تحملت فخر المثليين. تحملت المثليين على التلفزيون وفي كل ساحة مدينة. لكني أرسم الخط عند شياطين المتحولين وهم يقرؤون الكتب للأطفال. (عن وقت قصة ملكة الدراغ)","People reading stories to children, teaching them about the world?",LGBT+,V1
60,"المتطرفون الصهاينة يتآمرون في القدس. أهدافهم هي إحداث الفوضى والدمار والقتل وخلق المزيد من اللاجئين وتدمير أوروبا.","Or maybe they want their culture to survive.",JEWS,V1
61,"لقد تحملت فخر المثليين. تحملت المثليين على التلفزيون وفي كل ساحة مدينة. لكني أرسم الخط عند شياطين المتحولين وهم يقرؤون الكتب للأطفال. (عن وقت قصة ملكة الدراغ)","Not sure how reading a book is a problem, sounds pretty nice for the kids.",LGBT+,V1
62,"‘العصير (اليهود) أسوأ من القنابل النووية.’ تعليق على ميم يظهر هيروشيما عام 1945 والوقت الحاضر، مقارنة بصور ديترويت عام 1945 والوقت الحاضر.","Not quite sure I agree, I have never felt threatened by a Jewish person, whereas I'm pretty scared of nuclear war.",JEWS,V1
63,"منذ متى أصبح استخدام فتحة الشرج كعضو جنسي 'إنجازًا عظيمًا'؟ هذه هي المثلية المفروضة من الدولة! ربما يجب أن نغير شعارنا إلى 'نثق في الربا واللواط' (ردًا على إلغاء بوتسوانا تجريم المثلية)","No-one is forcing anyone into practices they don't want to take part in here.",LGBT+,V1
64,"اليهود حول العالم لم يريدوا خروج بريطانيا من الاتحاد الأوروبي وهم يفعلون كل ما في وسعهم لإفشاله.","My whole family voted against Brexit, and we are not Jewish.",JEWS,V1
65,"لا يمكن لليهود أن يكونوا وطنيين، لأن ولاءهم سيكون دائمًا لدولة إسرائيل.","My best friend is Jewish, she volunteers to help woman, disadvantages children, and her whole family work to make the UK a better place.",JEWS,V1
66,"الأمة الوحيدة التي لا يكرهها اليهود هي أمتهم وهم يغمرون أوروبا بالأفارقة والمسلمين.","My best friend is Jewish, she volunteers to help woman, and disadvantaged children, and her whole family work to make the UK a better place.",JEWS,V1
67,"الأقليات تصوت لتجريد البيض من الثروة والسلطة ويتم تنظيمهم للقيام بذلك من قبل اليهود.","Minority voices are notoriously ignored.",JEWS,V1
68,"ما الفرق بين البقرة والمحرقة؟ تتوقف عن حلب البقرة بعد 70 عامًا.","Milking it? Millions of people suffered during this tragedy,",JEWS,V1
69,"قفز عدد الأجانب الذين يحصلون على إعانات في المملكة المتحدة بنسبة 41٪ خلال خمس سنوات مع حصول أكثر من 400 ألف شخص الآن على مدفوعات. يجب أن يتوقف هذا الهراء.","Maybe the reason for such a rise in UK benefit claimants is due to unequal opportunities and lack of job opportunities , and this goes for everyone, not just 'foreigners'.",MIGRANTS,V1
70,"يضحكني بحق الجحيم، لماذا لا ينبغي أن يكون البيض متفوقين في بلد أغلبه من البيض؟ لماذا لا يشتكي أحد من تفوق السود في دول السود مثل الصومال؟ أو تفوق المكسيكيين؟ أو الهنود؟ فقط نحن من يتحمل هذا الهراء.","maybe the roots of white supremacy deriving from centuries of mass colonisation, slavery and domination over others, are the reason that white supremacy is such a problem.",other,V1
71,"نشرت الحكومة البريطانية مؤخرًا ورقة حول 'الأضرار عبر الإنترنت' – بمعنى آخر، سيعملون مع المنظمات اليهودية والإسلامية لمكافحة الكراهية لفرض الرقابة على الإنترنت. (في إشارة إلى Tell Mama و CST و Stop Hate UK)","My reading of the Online harms bill is that is seeks to ensure that people are able to conduct their lives online and exercise their right to free speech without suffering harm and abuse while they do so.",other,V1
72,"ربما يجب على الأمم المتحدة أن تتحدث مع تلك الدول الآسيوية والأفريقية المسؤولة عن أكثر من 90٪ من تلوث المحيطات بدلاً من الإصرار على هذا الهراء حول تغير المناخ.","It’s a simple line to believe that population growth in other places is the cause of climate change and ocean pollution – but really if you think about it, the poorest people aren’t the ones over-consuming resources and pumping out pollution into our oceans. It is right to be worried about our oceans, but we need to be talking about resource-consumption and wealth inequality! Question power at the top not the bottom.",other,V1
73,"لا يمكن لليهود أن يكونوا وطنيين، لأن ولاءهم سيكون دائمًا لدولة إسرائيل.","It is possible to love one's country and one's religious home. The two are not exclusive.",JEWS,V1
