Sample_ID,Group_ID,Language,Hate_Type,Text,Source_Dataset
1,0,Albanian,other,Ndoshta OKB-ja mund të flasë me ato vende aziatike dhe afrikane që janë përgjegjëse për mbi 90% të ndotjes së oqeaneve në vend që të këmbëngulë në këtë budallallëk për ndryshimet klimatike.,CONAN
2,1,Albanian,JEWS,"‘Lëngu (Hebrenjtë) janë më keq se bombat bërthamore.’ Titulli i një meme që tregon Hiroshimën në 1945 dhe sot, në kontrast me fotografitë e Detroitit në 1945 dhe sot.",CONAN
3,2,Albanian,MIGRANTS,Numri i të huajve që marrin përfitime në MB është rritur me 41% në 5 vitet e fundit me mbi 400 mijë që marrin pagesa. Kjo marrëzi duhet të ndalet.,CONAN
4,3,Albanian,JEWS,"Hebrenjtë nuk mund të jenë patriotë, pasi besnikëria e tyre do të jetë gjithmonë ndaj shtetit të Izraelit.",CONAN
5,4,Albanian,JEWS,"Izraeli, Sionizmi dhe kontrolli supremacist hebre mbi Amerikën janë shkaqet kryesore të terrorizmit, paqëndrueshmërisë dhe konflikteve në botë. Të gjitha teoritë e tjera janë shmangie nga kjo e vërtetë përfundimtare.",CONAN
6,5,Albanian,WOMEN,"Gratë janë në thelb si fëmijë, të tilla mbeten shumicën e jetës së tyre. Të buta dhe emocionale. Kjo e ka shkatërruar qytetërimin tonë dikur të madh patriarkal.",CONAN
7,6,Albanian,MIGRANTS,Numri i të huajve që marrin përfitime në MB është rritur me 41% në 5 vitet e fundit me mbi 400 mijë që marrin pagesa. Kjo marrëzi duhet të ndalet.,CONAN
8,7,Albanian,POC,"Raca është një konstrukt shoqëror, dhe nëse sheh ndonjë ndryshim mes këtyre dy grave, është sepse ke një sëmundje mendore. [imazh që tregon një atlete femër europiane bjonde, krahas një gruaje afrikane me pjatë buzësh]",CONAN
9,8,Albanian,WOMEN,"Kush dreqin je ti? Jemi të ngopur me Misandristet Vaginale që përpiqen të minojnë meshkujt e fuqishëm të bardhë, ndërsa vetë janë vetëm xheloze, të paafta dhe të padobishme.",CONAN
10,9,Albanian,WOMEN,"Gratë janë në thelb si fëmijë, të tilla mbeten shumicën e jetës së tyre. Të buta dhe emocionale. Kjo e ka shkatërruar qytetërimin tonë dikur të madh patriarkal.",CONAN
11,10,Albanian,WOMEN,"Kush dreqin je ti? Jemi të ngopur me Misandristet Vaginale që përpiqen të minojnë meshkujt e bardhë të fuqishëm. Ato janë vetëm xheloze, të paafta dhe të padobishme.",CONAN
12,11,Albanian,other,"Më bën të qesh me gjithë shpirt, pse të mos jenë të bardhët supremë në një vend kryesisht të bardhë? Pse askush nuk ankohet për supremacinë e zezë në vendet e zeza si Somalia? Apo supremacia meksikane? Apo ajo indiane? Vetëm ne durojmë këtë budallallëk.",CONAN
13,12,Albanian,JEWS,Cili është ndryshimi mes një lope dhe Holokaustit? Ti ndalon ta mjelësh lopën pas 70 vitesh.,CONAN
14,13,Albanian,WOMEN,Filluam të shpërbëhemi kur lejuam gratë të votonin/të ndërhynin në qytetërimin që ndërtuam dhe mirëmbajtëm për mijëra vjet. Energjia dhe mënyra e tyre e mendimit është krejtësisht ndryshe. Janë të dobëta dhe e ulin shoqërinë tonë në nivelin e tyre emocional të butë.,CONAN
15,14,Albanian,JEWS,"Hebrenjtë pëlqejnë të ndajnë zona për vete, ku asnjë hebre tjetër nuk lejohet të shkojë, ndërkohë që gjykatësit e tyre mbushin lagjet e bardha me banesa sociale.",CONAN
16,15,Albanian,JEWS,Pakicat votojnë për t'u marrë pasurinë dhe fuqinë të bardhëve dhe kjo organizohet nga Hebrenjtë.,CONAN
17,16,Albanian,JEWS,"Izraeli, Sionizmi dhe kontrolli supremacist hebre mbi Amerikën janë shkaqet kryesore të terrorizmit, paqëndrueshmërisë dhe konflikteve në botë. Të gjitha teoritë e tjera janë shmangie nga kjo e vërtetë përfundimtare.",CONAN
18,17,Albanian,JEWS,"Hebrenjtë bënë: Sulmin ndaj USS Liberty, sulmin ndaj hotelit King David, New York 9/11, Londër 7/7",CONAN
19,18,Albanian,JEWS,"Ekstremistët sionistë komplotojnë në Jeruzalem. Qëllimet e tyre janë të shkaktojnë kaos, masakra, vrasje, të krijojnë më shumë refugjatë dhe të shkatërrojnë Europën.",CONAN
20,19,Albanian,JEWS,Po sikur e gjithë klasa jonë drejtuese të përbëhej nga pedofilë të kontrolluar nga Hebrenjtë? Kjo do të shpjegonte shumë.,CONAN
21,20,Albanian,JEWS,Hebrenjtë globalë nuk donin Brexit dhe po bëjnë gjithçka për ta sabotuar atë.,CONAN
22,21,Albanian,JEWS,"Hebrenjtë bënë: Sulmin ndaj USS Liberty, sulmin ndaj hotelit King David, New York 9/11, Londër 7/7",CONAN
23,22,Albanian,other,"Një hebre amerikan, ashtu si një mysliman, është i huaj, besnik ndaj fisit të tij të lindjes, duke u shtirur si pjesë e grupit për të nënshtruar normat kulturore, politike dhe shoqërore. Nuk kemi pse të zgjedhim, është në rregull t'i urrejmë të dy.",CONAN
24,23,Albanian,other,"Një hebre amerikan, ashtu si një mysliman, është i huaj, besnik ndaj fisit të tij të lindjes, duke u shtirur si pjesë e grupit për të nënshtruar normat kulturore, politike dhe shoqërore. Nuk kemi pse të zgjedhim, është në rregull t'i urrejmë të dy.",CONAN
25,24,Albanian,LGBT+,"Sekretari i Arsimit në MB: 'Të gjithë fëmijët nga mosha 4 vjeç do të kenë mësime të detyrueshme mbi marrëdhëniet e së njëjtës gjini.' – Kjo nuk ka të bëjë me arsimin, por me ngatërrimin dhe indoktrinimin e qëllimshëm të fëmijëve dhe pengimin e zhvillimit të personaliteteve të tyre.",CONAN
26,25,Albanian,WOMEN,"Kush dreqin je ti? Jemi të ngopur me Misandristet Vaginale që përpiqen të minojnë meshkujt e fuqishëm të bardhë, ndërsa vetë janë vetëm xheloze, të paafta dhe të padobishme.",CONAN
27,26,Albanian,other,"Qeveria e MB ka publikuar së fundmi një dokument mbi ‘Dëmet Online’ – me fjalë të tjera ata do të punojnë me organizatat hebraike dhe myslimane kundër urrejtjes për të censuruar internetin. (Duke iu referuar Tell Mama, CST dhe Stop Hate UK)",CONAN
28,27,Albanian,LGBT+,Që kur është bërë përdorimi i anusit si organ seksual një ‘arritje monumentale’? KJO ËSHTË HOMOSEKSUALITET I DETYRUAR NGA SHTETI! Ndoshta duhet ta ndryshojmë moton tonë në ‘Besojmë në kamatë dhe sodomi’ (në përgjigje të dekriminalizimit të homoseksualitetit nga Botsvana),CONAN
29,28,Albanian,WOMEN,"Ja pse gratë nuk i përkasin politikës, nëse një burrë ankohej si ato, do të quhej frikacak dhe do t’i thuhej të largohej nga puna. Barazia është një gënjeshtër dhe feminizmi është dënimi me vdekje për çdo civilizim.",CONAN
30,29,Albanian,MIGRANTS,Pakistan: 202 milionë Nigeria: 193 milionë Bangladesh: 165 milionë Etiopi: 107 milionë Kongo: 84 milionë Britania e Madhe: 66 milionë ‘Pakicat etnike’ Mos më bëj të qesh me gjithë shpirt!,CONAN
31,30,Albanian,LGBT+,"Sekretari i Arsimit në MB: 'Të gjithë fëmijët nga mosha 4 vjeç do të kenë mësime të detyrueshme mbi marrëdhëniet e së njëjtës gjini.' – Kjo nuk ka të bëjë me arsimin, por me ngatërrimin dhe indoktrinimin e qëllimshëm të fëmijëve dhe pengimin e zhvillimit të personaliteteve të tyre.",CONAN
32,31,Albanian,MIGRANTS,Pakistan: 202 milionë Nigeria: 193 milionë Bangladesh: 165 milionë Etiopi: 107 milionë Kongo: 84 milionë Britania e Madhe: 66 milionë ‘Pakicat etnike’ Mos më bëj të qesh me gjithë shpirt!,CONAN
33,32,Albanian,MIGRANTS,Pakistan: 202 milionë Nigeria: 193 milionë Bangladesh: 165 milionë Etiopi: 107 milionë Kongo: 84 milionë Britania e Madhe: 66 milionë ‘Pakicat etnike’ Mos më bëj të qesh me gjithë shpirt!,CONAN
34,33,Albanian,MIGRANTS,"E mora këtë në Wanstead, lindje të Londrës. Një zonë me shtëpi mbi 1 milion paund. Lypsarë në rrugën kryesore dhe dikush që fle në stol. Nuk mund t’i strehojmë njerëzit tanë por sjellim miliona të tjerë. Të thuash se të pastrehët janë për shkak të emigracionit të pakontrolluar do të të quajnë ‘racist’. (Titull mbi një foto të një të pastrehu që fle në stol)",CONAN
35,34,Albanian,WOMEN,"Kur ju kafshët ta keni shkatërruar botën dhe të filloni të hani njëri-tjetrin, sepse për këtë jeni të mirë, ne do të jemi ende këtu, duke mbajtur të pastër gjakun tonë kundër çdo gjase, duke u penduar për ditën kur dëgjuam gratë dhe hoqëm takat nga fytet tuaja.",CONAN
36,35,Albanian,other,Ndoshta OKB-ja mund të flasë me ato vende aziatike dhe afrikane që janë përgjegjëse për mbi 90% të ndotjes së oqeaneve në vend që të këmbëngulë në këtë budallallëk për ndryshimet klimatike.,CONAN
37,36,Albanian,JEWS,Fuqia e tyre për të ndaluar filma dhe për të ndëshkuar regjisorë është dëshmi se hebrenjtë kontrollojnë Hollywood-in.,CONAN
38,37,Albanian,WOMEN,Feministet kanë fituar. Me kaq shumë gra që nuk duan të riprodhojnë do të zëvendësohemi dhe do ta humbasim qytetërimin.,CONAN
39,38,Albanian,WOMEN,"Gratë janë në thelb si fëmijë, të tilla mbeten shumicën e jetës së tyre. Të buta dhe emocionale. Kjo e ka shkatërruar qytetërimin tonë dikur të madh patriarkal.",CONAN
40,39,Albanian,JEWS,Nazistët ishin të dobët në vrasjen e hebrenjve… kudo që shikon ka një të mbijetuar të Holokaustit.,CONAN
41,40,Albanian,JEWS,Nazistët ishin të dobët në vrasjen e hebrenjve… kudo që shikon ka një të mbijetuar të Holokaustit.,CONAN
42,41,Albanian,JEWS,‘Holokausti’ është një biznes. Ka qenë dhe vazhdon të përdoret për të zhvaturr miliona nga vendet europiane si reparacione dhe për të krijuar një mur paprekshmërie pas të cilit hebrenjtë mund të veprojnë pa kritika.,CONAN
43,42,Albanian,other,"Qeveria e MB ka publikuar së fundmi një dokument mbi ‘Dëmet Online’ – me fjalë të tjera ata do të punojnë me organizatat hebraike dhe myslimane kundër urrejtjes për të censuruar internetin. (Duke iu referuar Tell Mama, CST dhe Stop Hate UK)",CONAN
44,43,Albanian,JEWS,Nazistët ishin të dobët në vrasjen e hebrenjve… kudo që shikon ka një të mbijetuar të Holokaustit.,CONAN
45,44,Albanian,POC,"Raca është një konstrukt shoqëror, dhe nëse sheh ndonjë ndryshim mes këtyre dy grave, është sepse ke një sëmundje mendore. [imazh që tregon një atlete femër europiane bjonde, krahas një gruaje afrikane me pjatë buzësh]",CONAN
46,45,Albanian,LGBT+,"Sekretari i Arsimit në MB: 'Të gjithë fëmijët nga mosha 4 vjeç do të kenë mësime të detyrueshme mbi marrëdhëniet e së njëjtës gjini.' – Kjo nuk ka të bëjë me arsimin, por me ngatërrimin dhe indoktrinimin e qëllimshëm të fëmijëve dhe pengimin e zhvillimit të personaliteteve të tyre.",CONAN
47,46,Albanian,WOMEN,"Gratë janë në thelb si fëmijë, të tilla mbeten shumicën e jetës së tyre. Të buta dhe emocionale. Kjo e ka shkatërruar qytetërimin tonë dikur të madh patriarkal.",CONAN
48,47,Albanian,WOMEN,"Gratë janë në thelb si fëmijë, të tilla mbeten shumicën e jetës së tyre. Të buta dhe emocionale. Kjo e ka shkatërruar qytetërimin tonë dikur të madh patriarkal.",CONAN
49,48,Albanian,MIGRANTS,Pakistan: 202 milionë Nigeria: 193 milionë Bangladesh: 165 milionë Etiopi: 107 milionë Kongo: 84 milionë Britania e Madhe: 66 milionë ‘Pakicat etnike’ Mos më bëj të qesh me gjithë shpirt!,CONAN
50,49,Albanian,LGBT+,"Sekretari i Arsimit në MB: 'Të gjithë fëmijët nga mosha 4 vjeç do të kenë mësime të detyrueshme mbi marrëdhëniet e së njëjtës gjini.' – Kjo nuk ka të bëjë me arsimin, por me ngatërrimin dhe indoktrinimin e qëllimshëm të fëmijëve dhe pengimin e zhvillimit të personaliteteve të tyre.",CONAN
51,50,Albanian,other,"Qeveria e MB ka publikuar së fundmi një dokument mbi ‘Dëmet Online’ – me fjalë të tjera ata do të punojnë me organizatat hebraike dhe myslimane kundër urrejtjes për të censuruar internetin. (Duke iu referuar Tell Mama, CST dhe Stop Hate UK)",CONAN
52,51,Albanian,LGBT+,Që kur është bërë përdorimi i anusit si organ seksual një ‘arritje monumentale’? KJO ËSHTË HOMOSEKSUALITET I DETYRUAR NGA SHTETI! Ndoshta duhet ta ndryshojmë moton tonë në ‘Besojmë në kamatë dhe sodomi’ (në përgjigje të dekriminalizimit të homoseksualitetit nga Botsvana),CONAN
53,52,Albanian,WOMEN,Feministet kanë fituar. Me kaq shumë gra që nuk duan të riprodhojnë do të zëvendësohemi dhe do ta humbasim qytetërimin.,CONAN
54,53,Albanian,JEWS,‘Holokausti’ është një biznes. Ka qenë dhe vazhdon të përdoret për të zhvaturr miliona nga vendet europiane si reparacione dhe për të krijuar një mur paprekshmërie pas të cilit hebrenjtë mund të veprojnë pa kritika.,CONAN
55,54,Albanian,JEWS,‘Holokausti’ është një biznes. Ka qenë dhe vazhdon të përdoret për të zhvaturr miliona nga vendet europiane si reparacione dhe për të krijuar një mur paprekshmërie pas të cilit hebrenjtë mund të veprojnë pa kritika.,CONAN
56,55,Albanian,JEWS,"‘Lëngu (Hebrenjtë) janë më keq se bombat bërthamore.’ Titulli i një meme që tregon Hiroshimën në 1945 dhe sot, në kontrast me fotografitë e Detroitit në 1945 dhe sot.",CONAN
57,56,Albanian,MIGRANTS,"E mora këtë në Wanstead, lindje të Londrës. Një zonë me shtëpi mbi 1 milion paund. Lypsarë në rrugën kryesore dhe dikush që fle në stol. Nuk mund t’i strehojmë njerëzit tanë por sjellim miliona të tjerë. Të thuash se të pastrehët janë për shkak të emigracionit të pakontrolluar do të të quajnë ‘racist’. (Titull mbi një foto të një të pastrehu që fle në stol)",CONAN
58,57,Albanian,other,"Më bën të qesh me gjithë shpirt, pse të mos jenë të bardhët supremë në një vend kryesisht të bardhë? Pse askush nuk ankohet për supremacinë e zezë në vendet e zeza si Somalia? Apo supremacia meksikane? Apo ajo indiane? Vetëm ne durojmë këtë budallallëk.",CONAN
59,58,Albanian,JEWS,Pakicat votojnë për t'u marrë pasurinë dhe fuqinë të bardhëve dhe kjo organizohet nga Hebrenjtë.,CONAN
60,59,Albanian,LGBT+,E kam toleruar krenarinë gay. E kam toleruar që të jenë në TV dhe në çdo shesh qyteti. Por nuk e toleroj që demonët trans të lexojnë libra për fëmijët. (për orën e rrëfimeve nga drag queens),CONAN
61,60,Albanian,JEWS,"Ekstremistët sionistë komplotojnë në Jeruzalem. Qëllimet e tyre janë të shkaktojnë kaos, masakra, vrasje, të krijojnë më shumë refugjatë dhe të shkatërrojnë Europën.",CONAN
62,61,Albanian,LGBT+,E kam toleruar krenarinë gay. E kam toleruar që të jenë në TV dhe në çdo shesh qyteti. Por nuk e toleroj që demonët trans të lexojnë libra për fëmijët. (për orën e rrëfimeve nga drag queens),CONAN
63,62,Albanian,JEWS,"‘Lëngu (Hebrenjtë) janë më keq se bombat bërthamore.’ Titulli i një meme që tregon Hiroshimën në 1945 dhe sot, në kontrast me fotografitë e Detroitit në 1945 dhe sot.",CONAN
64,63,Albanian,LGBT+,Që kur është bërë përdorimi i anusit si organ seksual një ‘arritje monumentale’? KJO ËSHTË HOMOSEKSUALITET I DETYRUAR NGA SHTETI! Ndoshta duhet ta ndryshojmë moton tonë në ‘Besojmë në kamatë dhe sodomi’ (në përgjigje të dekriminalizimit të homoseksualitetit nga Botsvana),CONAN
65,64,Albanian,JEWS,Hebrenjtë globalë nuk donin Brexit dhe po bëjnë gjithçka për ta sabotuar atë.,CONAN
66,65,Albanian,JEWS,"Hebrenjtë nuk mund të jenë patriotë, pasi besnikëria e tyre do të jetë gjithmonë ndaj shtetit të Izraelit.",CONAN
67,66,Albanian,JEWS,Komb i vetëm që hebrenjtë nuk e urrejnë është i tyre dhe po mbushin Europën me afrikanë dhe myslimanë.,CONAN
68,67,Albanian,JEWS,Pakicat votojnë për t'u marrë pasurinë dhe fuqinë të bardhëve dhe kjo organizohet nga Hebrenjtë.,CONAN
69,68,Albanian,JEWS,Cili është ndryshimi mes një lope dhe Holokaustit? Ti ndalon ta mjelësh lopën pas 70 vitesh.,CONAN
70,69,Albanian,MIGRANTS,Numri i të huajve që marrin përfitime në MB është rritur me 41% në 5 vitet e fundit me mbi 400 mijë që marrin pagesa. Kjo marrëzi duhet të ndalet.,CONAN
71,70,Albanian,other,"Më bën të qesh me gjithë shpirt, pse të mos jenë të bardhët supremë në një vend kryesisht të bardhë? Pse askush nuk ankohet për supremacinë e zezë në vendet e zeza si Somalia? Apo supremacia meksikane? Apo ajo indiane? Vetëm ne durojmë këtë budallallëk.",CONAN
72,71,Albanian,other,"Qeveria e MB ka publikuar së fundmi një dokument mbi ‘Dëmet Online’ – me fjalë të tjera ata do të punojnë me organizatat hebraike dhe myslimane kundër urrejtjes për të censuruar internetin. (Duke iu referuar Tell Mama, CST dhe Stop Hate UK)",CONAN
73,72,Albanian,other,Ndoshta OKB-ja mund të flasë me ato vende aziatike dhe afrikane që janë përgjegjëse për mbi 90% të ndotjes së oqeaneve në vend që të këmbëngulë në këtë budallallëk për ndryshimet klimatike.,CONAN
74,73,Albanian,JEWS,"Hebrenjtë nuk mund të jenë patriotë, pasi besnikëria e tyre do të jetë gjithmonë ndaj shtetit të Izraelit.",CONAN
75,74,Albanian,MIGRANTS,Numri i të huajve që marrin përfitime në MB është rritur me 41% në 5 vitet e fundit me mbi 400 mijë që marrin pagesa. Kjo marrëzi duhet të ndalet.,CONAN
76,75,Albanian,MIGRANTS,"E mora këtë në Wanstead, lindje të Londrës. Një zonë me shtëpi mbi 1 milion paund. Lypsarë në rrugën kryesore dhe dikush që fle në stol. Nuk mund t’i strehojmë njerëzit tanë por sjellim miliona të tjerë. Të thuash se të pastrehët janë për shkak të emigracionit të pakontrolluar do të të quajnë ‘racist’. (Titull mbi një foto të një të pastrehu që fle në stol)",CONAN
77,76,Albanian,JEWS,"Hebrenjtë nuk mund të jenë patriotë, pasi besnikëria e tyre do të jetë gjithmonë ndaj shtetit të Izraelit.",CONAN
78,77,Albanian,JEWS,Fuqia e tyre për të ndaluar filma dhe për të ndëshkuar regjisorë është dëshmi se hebrenjtë kontrollojnë Hollywood-in.,CONAN
79,78,Albanian,other,"Më bën të qesh me gjithë shpirt, pse të mos jenë të bardhët supremë në një vend kryesisht të bardhë? Pse askush nuk ankohet për supremacinë e zezë në vendet e zeza si Somalia? Apo supremacia meksikane? Apo ajo indiane? Vetëm ne durojmë këtë budallallëk.",CONAN
80,79,Albanian,JEWS,"Hebrenjtë pëlqejnë të ndajnë zona për vete, ku asnjë hebre tjetër nuk lejohet të shkojë, ndërkohë që gjykatësit e tyre mbushin lagjet e bardha me banesa sociale.",CONAN
81,80,Albanian,JEWS,Komb i vetëm që hebrenjtë nuk e urrejnë është i tyre dhe po mbushin Europën me afrikanë dhe myslimanë.,CONAN
82,81,Albanian,LGBT+,Duhet të jetë e vështirë të jesh gay. Ata duhet të bëjnë gjithçka që bëjmë ne por edhe të gjejnë kohë për të ngacmuar fëmijët.,CONAN
83,82,Albanian,JEWS,Hebrenjtë globalë nuk donin Brexit dhe po bëjnë gjithçka për ta sabotuar atë.,CONAN
84,83,Albanian,LGBT+,E kam toleruar krenarinë gay. E kam toleruar që të jenë në TV dhe në çdo shesh qyteti. Por nuk e toleroj që demonët trans të lexojnë libra për fëmijët. (për orën e rrëfimeve nga drag queens),CONAN
85,84,Albanian,MIGRANTS,Numri i të huajve që marrin përfitime në MB është rritur me 41% në 5 vitet e fundit me mbi 400 mijë që marrin pagesa. Kjo marrëzi duhet të ndalet.,CONAN
86,85,Albanian,JEWS,Komb i vetëm që hebrenjtë nuk e urrejnë është i tyre dhe po mbushin Europën me afrikanë dhe myslimanë.,CONAN
87,86,Albanian,MIGRANTS,"E mora këtë në Wanstead, lindje të Londrës. Një zonë me shtëpi mbi 1 milion paund. Lypsarë në rrugën kryesore dhe dikush që fle në stol. Nuk mund t’i strehojmë njerëzit tanë por sjellim miliona të tjerë. Të thuash se të pastrehët janë për shkak të emigracionit të pakontrolluar do të të quajnë ‘racist’. (Titull mbi një foto të një të pastrehu që fle në stol)",CONAN
88,87,Albanian,MIGRANTS,"E mora këtë në Wanstead, lindje të Londrës. Një zonë me shtëpi mbi 1 milion paund. Lypsarë në rrugën kryesore dhe dikush që fle në stol. Nuk mund t’i strehojmë njerëzit tanë por sjellim miliona të tjerë. Të thuash se të pastrehët janë për shkak të emigracionit të pakontrolluar do të të quajnë ‘racist’. (Titull mbi një foto të një të pastrehu që fle në stol)",CONAN
89,88,Albanian,other,"Më bën të qesh me gjithë shpirt, pse të mos jenë të bardhët supremë në një vend kryesisht të bardhë? Pse askush nuk ankohet për supremacinë e zezë në vendet e zeza si Somalia? Apo supremacia meksikane? Apo ajo indiane? Vetëm ne durojmë këtë budallallëk.",CONAN
90,89,Albanian,WOMEN,"Ja pse gratë nuk i përkasin politikës, nëse një burrë ankohej si ato, do të quhej frikacak dhe do t’i thuhej të largohej nga puna. Barazia është një gënjeshtër dhe feminizmi është dënimi me vdekje për çdo civilizim.",CONAN
91,90,Albanian,WOMEN,Feministet kanë fituar. Me kaq shumë gra që nuk duan të riprodhojnë do të zëvendësohemi dhe do ta humbasim qytetërimin.,CONAN
92,91,Albanian,JEWS,Po sikur e gjithë klasa jonë drejtuese të përbëhej nga pedofilë të kontrolluar nga Hebrenjtë? Kjo do të shpjegonte shumë.,CONAN
